titulo,preco,preco_antigo,marca,tamanho,imagem,url,likes,tag,anomesdia_particao,categoria
bastão manual para câmara gopro,R$ 130,R$ 130,gopro,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTE1NjU2My80ZTFmMjYxNmI1NDYzM2RmMDUyOWVhYTkyY2JmNmUyMi5qcGc,https://www.enjoei.com.br/p/bastao-manual-para-camara-gopro-137595620?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=19&rspix=30,0,barateou,20260710,eletronicos
mochila de trabalho com rodinhas,R$ 150,R$ 150,hidea & designer,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8xMzk0MTM2Ny8zOTU0ODAzYjk2Nzg5MDJmMWZlOWU2ZjI3MmFiOGQ5ZC5qcGc,https://www.enjoei.com.br/p/mochila-de-trabalho-com-rodinhas-134412444?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=20&rspix=1,1,barateou,20260710,eletronicos
iphone 15 pro max titânio natural,R$ 5.350,,apple,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy82ODY1MjEvZTQ5ZGRkYTkwYjVjYWEyMTc0ZWM5ODkzOWZiODc5Y2UuanBn,https://www.enjoei.com.br/p/iphone-15-pro-max-titanio-natural-146279961?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=20&rspix=2,2,,20260710,eletronicos
airpods pro apple original,R$ 250,,apple,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8zNTY2ODYyNS9kOWRiZTQxZjA1OGQ0N2Y5MmVlNDZmN2VjZDM1ZWM2My5qcGc,https://www.enjoei.com.br/p/airpods-pro-apple-original-146211368?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=20&rspix=3,0,,20260710,eletronicos
câmera digital olympus x-10 6.0 megapixel,R$ 320,R$ 320,olympus,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8zNzQ4MjE0OS82ZTMzYzg2N2FlODQwNmM4OTFlZjBiZmM1MmI3ZWFkNC5qcGc,https://www.enjoei.com.br/p/camera-digital-olympus-x-10-6-0-megapixel-145871037?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=20&rspix=4,2,barateou,20260710,eletronicos
câmera digital kodak easyshare c160 prata,R$ 380,R$ 380,kodak,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8zNzQ4MjE0OS9kYmQzOWFlMDI0ZWQ5ZDc4ODlhMjk0OWZjNDczNDJmYS5qcGc,https://www.enjoei.com.br/p/camera-digital-kodak-easyshare-c160-prata-145870747?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=20&rspix=5,3,barateou,20260710,eletronicos
câmera digital olympus camedia d-435 5.1mp,R$ 260,R$ 260,olympus,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8zNzQ4MjE0OS83NzdkYTlmNWM3ZjJjNDVmYzExYzhjZTU1NmZjYzMxZi5qcGc,https://www.enjoei.com.br/p/camera-digital-olympus-camedia-d-435-5-1mp-145870571?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=20&rspix=6,1,barateou,20260710,eletronicos
câmera kodak ektralite 10 leia a descrição do anúncio,R$ 160,R$ 160,kodak,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8zNzQ4MjE0OS83MzUzZjY3NjMxZTU2NTY3YTg2ZTdhNzc4ODAyODVkNC5qcGc,https://www.enjoei.com.br/p/camera-kodak-ektralite-10-leia-a-descricao-do-anuncio-143865428?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=20&rspix=7,6,barateou,20260710,eletronicos
capa iphone 17 pro max prata,R$ 48,R$ 48,apple,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy83NDgwMjc4L2E4ODYyNWZiMDNlOWYyZTZiNDU5ZThiMTlhZDE2ZjZjLmpwZw,https://www.enjoei.com.br/p/capa-iphone-17-pro-max-prata-143838314?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=20&rspix=8,0,barateou,20260710,eletronicos
câmera digital kodak easyshare m531 vermelha,R$ 399,,kodak,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80ODUwNjYzLzZhMzg3MDg0MWI4Yzk2NjgxODFkNTJjMzQ5ZTc3MDBiLmpwZw,https://www.enjoei.com.br/p/camera-digital-kodak-easyshare-m531-vermelha-146419414?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=20&rspix=9,1,,20260710,eletronicos
