preco,preco_antigo,marca,likes,anomesdia_particao,categoria,fl_item_ativo
40,0,phanteks,0,20260710,eletronicos,1.0
100,0,relaxbeauty,0,20260710,eletronicos,1.0
1000,0,nikon,1,20260710,eletronicos,1.0
650,0,kindle,1,20260710,eletronicos,1.0
599,599,olympus,0,20260710,eletronicos,1.0
860,0,nintendo,0,20260710,eletronicos,1.0
650,650,motorola,3,20260710,eletronicos,1.0
50,0,nintendo,0,20260710,eletronicos,1.0
55,0,sony,1,20260710,eletronicos,1.0
70,0,lego,1,20260710,eletronicos,1.0
70,70,sony,1,20260710,eletronicos,1.0
70,0,lego,4,20260710,eletronicos,1.0
500,0,sony,5,20260710,eletronicos,1.0
115,0,logitech,1,20260710,eletronicos,1.0
45,0,apple,0,20260710,eletronicos,1.0
35,0,sem  marca,0,20260710,eletronicos,1.0
299,299,universal-japan,3,20260710,eletronicos,1.0
15,0,apple,0,20260710,eletronicos,1.0
220,0,ballistix,3,20260710,eletronicos,1.0
25,0,bracket,0,20260710,eletronicos,1.0
200,0,jbl,1,20260710,eletronicos,1.0
23,23,artesanal,1,20260710,eletronicos,1.0
30,0,gamesir,0,20260710,eletronicos,1.0
4000,0,gigabyte,1,20260710,eletronicos,1.0
300,300,vivitar,3,20260710,eletronicos,1.0
900,0,apple,0,20260710,eletronicos,1.0
390,0,motorola,0,20260710,eletronicos,1.0
23,23,artesanal,1,20260710,eletronicos,1.0
120,0,hewlettpackard,0,20260710,eletronicos,1.0
1099,0,apple,4,20260710,eletronicos,1.0
3000,3000,sony,5,20260710,eletronicos,1.0
1525,1525,apple,0,20260710,eletronicos,1.0
850,0,lg,0,20260710,eletronicos,1.0
150,0,multilaser.,0,20260710,eletronicos,1.0
220,220,canon,5,20260710,eletronicos,0.0
500,0,kindle,6,20260710,eletronicos,1.0
120,120,play station 3,5,20260710,eletronicos,1.0
3800,0,sony,0,20260710,eletronicos,1.0
745,0,antuvi,0,20260710,eletronicos,1.0
899,899,xbox one,2,20260710,eletronicos,1.0
1000,0,apple,0,20260710,eletronicos,1.0
110,0,taiff,1,20260710,eletronicos,1.0
89,0,apple,1,20260710,eletronicos,1.0
89,0,apple,1,20260710,eletronicos,1.0
59,0,apple,0,20260710,eletronicos,1.0
89,89,agglass,1,20260710,eletronicos,1.0
69,0,apple,0,20260710,eletronicos,1.0
99,0,fujifilm,3,20260710,eletronicos,1.0
2400,0,apple,6,20260710,eletronicos,1.0
70,0,lg,4,20260710,eletronicos,1.0
100,0,apple,3,20260710,eletronicos,1.0
39,0,sony,0,20260710,eletronicos,1.0
5000,0,amd/nvidia/msi,0,20260710,eletronicos,1.0
60,0,playstation,1,20260710,eletronicos,1.0
2499,2499,xbox one,4,20260710,eletronicos,1.0
1349,0,pcyes,0,20260710,eletronicos,1.0
200,0,nintendo,2,20260710,eletronicos,1.0
350,350,olympus,4,20260710,eletronicos,1.0
799,0,sony,2,20260710,eletronicos,1.0
78,78,activision,1,20260710,eletronicos,1.0
3150,0,apple,0,20260710,eletronicos,1.0
400,0,apple,1,20260710,eletronicos,0.0
25,0,sem  marca,0,20260710,eletronicos,1.0
1600,1600,xbox one,2,20260710,eletronicos,1.0
280,0,amazon.,8,20260710,eletronicos,0.0
250,0,samsung,1,20260710,eletronicos,1.0
65,0,activision,1,20260710,eletronicos,1.0
79,79,sem  marca,2,20260710,eletronicos,1.0
199,199,yashica,6,20260710,eletronicos,1.0
120,0,kemei 2600 sem fio,0,20260710,eletronicos,1.0
180,180,olympus,4,20260710,eletronicos,1.0
65,0,sem  marca,0,20260710,eletronicos,1.0
35,0,onex,0,20260710,eletronicos,1.0
2500,2500,apple,5,20260710,eletronicos,0.0
350,0,rhode,0,20260710,eletronicos,1.0
599,599,sem  marca,0,20260710,eletronicos,1.0
423,423,sony,4,20260710,eletronicos,1.0
125,0,olympus,0,20260710,eletronicos,1.0
300,300,minolta,3,20260710,eletronicos,1.0
140,0,diversos.,3,20260710,eletronicos,1.0
120,0,samsung,2,20260710,eletronicos,1.0
50,50,samsung,4,20260710,eletronicos,1.0
1500,0,nikon,4,20260710,eletronicos,1.0
30,0,sem  marca,0,20260710,eletronicos,1.0
1300,0,apple,3,20260710,eletronicos,1.0
50,0,redmi,0,20260710,eletronicos,1.0
309,0,positivo.,1,20260710,eletronicos,1.0
4500,0,apple,5,20260710,eletronicos,1.0
3980,0,canon,2,20260710,eletronicos,1.0
2700,0,apple,0,20260710,eletronicos,1.0
75,0,microsoft,0,20260710,eletronicos,1.0
80,80,wahl,0,20260710,eletronicos,1.0
700,0,samsung,3,20260710,eletronicos,1.0
4000,4000,mancer,0,20260710,eletronicos,1.0
1600,0,apple,8,20260710,eletronicos,1.0
